scene update,player update,enemy update,particles update,particles draw,scene draw,player draw,enemies draw,frame draw
3.49289e-005,4.6024e-005,2.3012e-005,0.000143825,0.00565356,0.000280664,6.3283e-005,5.05442e-005,0.0161721
3.28743e-005,8.34185e-005,2.58885e-005,0.000246968,0.00555987,0.000367781,0.000102732,6.45158e-005,0.0162428
3.24634e-005,4.10929e-005,2.26011e-005,0.0001241,0.00540207,0.000366548,6.28721e-005,4.93114e-005,0.0168448
3.28743e-005,3.94492e-005,2.05464e-005,0.000184507,0.00547275,0.000413394,7.06797e-005,5.50645e-005,0.0169023
3.53399e-005,4.27366e-005,2.13683e-005,0.000143003,0.0056363,0.000297923,6.86251e-005,5.38317e-005,0.017868
3.73945e-005,0.000124511,2.42448e-005,0.000147112,0.00607558,0.000337783,7.72546e-005,5.79409e-005,0.0182732
3.4518e-005,4.27366e-005,2.3012e-005,0.000140949,0.00605216,0.000352577,7.76655e-005,5.99956e-005,0.0189594
3.49289e-005,4.35584e-005,2.09574e-005,0.000188205,0.00588655,0.00028765,6.57486e-005,5.01333e-005,0.0171435
3.36962e-005,4.15038e-005,2.38339e-005,0.000148345,0.00569835,0.000280253,6.45158e-005,4.97224e-005,0.0156149
3.41071e-005,4.19147e-005,2.42448e-005,0.000129443,0.00547768,0.000277377,6.3694e-005,4.93114e-005,0.0147971
0.000127799,4.0271e-005,2.38339e-005,0.000123279,0.0051477,0.000279842,6.41049e-005,5.05442e-005,0.0149442
3.16415e-005,3.90382e-005,2.34229e-005,0.000138483,0.00502155,0.00025683,5.83519e-005,4.47912e-005,0.0143291
3.32852e-005,3.86273e-005,1.93137e-005,0.000113416,0.00537824,0.000325866,7.10907e-005,5.25989e-005,0.0151805
3.94492e-005,4.31475e-005,2.17792e-005,0.000136428,0.00542837,0.00027861,6.3283e-005,4.89005e-005,0.0161836
3.41071e-005,4.23257e-005,2.05464e-005,0.000119169,0.00544809,0.000372712,7.39672e-005,5.62972e-005,0.0153507
3.24634e-005,3.94492e-005,2.01355e-005,0.000122457,0.00508237,0.00026998,6.04065e-005,4.68459e-005,0.0172307
3.82164e-005,3.98601e-005,1.97246e-005,0.000133552,0.00505319,0.00038956,8.21857e-005,5.38317e-005,0.0161553
3.4518e-005,4.39694e-005,2.26011e-005,0.000133963,0.00555452,0.000290527,6.61595e-005,4.97224e-005,0.0160977
