scene update,player update,enemy update,particles update,particles draw,scene draw,player draw,enemies draw,frame draw
0.000313949,0.000550644,0.000116704,0.00033203,0.002166,0.000395724,9.1226e-005,4.10928e-007,3.00826
3.08196e-005,3.65726e-005,1.52043e-005,0.000120402,0.00291307,0.0002256,5.30097e-005,4.10928e-007,0.00796543
4.72567e-005,5.87627e-005,2.3012e-005,7.64326e-005,0.00387259,0.00025683,5.50644e-005,0,0.0120809
2.99977e-005,4.06819e-005,1.35606e-005,4.76677e-005,0.00383848,0.000362849,7.76654e-005,4.10928e-007,0.00957545
3.28742e-005,4.27365e-005,1.47934e-005,5.25988e-005,0.00310949,0.000242858,5.67081e-005,4.10928e-007,0.00901741
0.000110951,3.86272e-005,1.43825e-005,5.09551e-005,0.00301662,0.000236695,5.46534e-005,4.10928e-007,0.00890933
0.000104376,6.69813e-005,1.35606e-005,5.01332e-005,0.00292005,0.000226421,5.30097e-005,4.10928e-007,0.00903713
2.99977e-005,3.57507e-005,1.31497e-005,4.80786e-005,0.0028202,0.000220668,5.17769e-005,4.10928e-007,0.00763751
0.000113005,4.19147e-005,1.31497e-005,5.95846e-005,0.00280869,0.000220257,5.1366e-005,0,0.00757628
0.000103554,6.08174e-005,1.23278e-005,7.23233e-005,0.00271829,0.000214094,5.01332e-005,4.10928e-007,0.00745382
0.00010643,4.47912e-005,1.35606e-005,7.02687e-005,0.00273596,0.000212861,4.97223e-005,0,0.00746328
0.000103554,0.000129853,4.64349e-005,0.000257652,0.010094,0.000790626,0.000186972,8.21856e-007,0.0242682
7.60217e-005,9.57462e-005,3.4107e-005,0.000240393,0.00799461,0.000582285,0.000136428,4.10928e-007,0.019893
6.57485e-005,8.30075e-005,2.95868e-005,0.00017259,0.00658101,0.000562971,0.000117936,8.21856e-007,0.017118
5.54753e-005,7.02687e-005,2.50666e-005,0.000117936,0.00597736,0.000440104,0.000102732,4.10928e-007,0.0153173
5.09551e-005,6.41048e-005,2.21901e-005,0.000111361,0.00535069,0.000423667,9.90337e-005,8.21856e-007,0.0138516
4.89004e-005,6.08174e-005,2.13683e-005,0.000116293,0.00491429,0.000368602,8.5884e-005,4.10928e-007,0.0129459
4.23256e-005,5.58862e-005,1.93136e-005,0.000108896,0.00454856,0.0003497,8.21856e-005,4.10928e-007,0.0120418
4.15037e-005,5.25988e-005,1.84918e-005,0.000100266,0.00420585,0.000340659,7.88982e-005,4.10928e-007,0.0111764
4.06819e-005,5.38316e-005,1.84918e-005,9.45135e-005,0.00404024,0.000322989,7.60217e-005,4.10928e-007,0.0104696
3.82163e-005,5.05441e-005,1.76699e-005,9.90337e-005,0.00378876,0.000292581,6.8625e-005,4.10928e-007,0.00996624
3.69835e-005,4.72567e-005,1.64371e-005,8.34184e-005,0.00359521,0.000282719,6.57485e-005,4.10928e-007,0.0095849
3.61617e-005,4.93114e-005,1.64371e-005,8.83495e-005,0.00343289,0.000315182,6.41048e-005,4.10928e-007,0.00916493
3.4107e-005,4.5613e-005,1.52043e-005,6.90359e-005,0.00332605,0.0002745,6.08174e-005,4.10928e-007,0.00881934
3.36961e-005,5.30097e-005,1.64371e-005,6.69813e-005,0.00323277,0.000254364,5.99955e-005,0,0.00852142
3.32852e-005,3.986e-005,1.43825e-005,6.78031e-005,0.00309963,0.000244913,5.7119e-005,4.10928e-007,0.00824157
0.000100677,4.23256e-005,1.39716e-005,5.17769e-005,0.00300882,0.000236695,5.50644e-005,4.10928e-007,0.00797283
3.28742e-005,4.35584e-005,1.39716e-005,7.64326e-005,0.00290362,0.000229709,5.34206e-005,4.10928e-007,0.0077123
3.20524e-005,4.10928e-005,1.31497e-005,7.4378e-005,0.00281938,0.000222723,5.1366e-005,0,0.00748711
3.73945e-005,4.52021e-005,1.31497e-005,6.20501e-005,0.00269733,0.000214915,5.01332e-005,4.10928e-007,0.00726233
2.95868e-005,4.02709e-005,1.31497e-005,6.78031e-005,0.00269199,0.000215326,5.01332e-005,4.10928e-007,0.00726726
3.36961e-005,5.79409e-005,1.39716e-005,8.09528e-005,0.0027224,0.000216148,5.01332e-005,4.10928e-007,0.0070166
2.8765e-005,4.80786e-005,1.23278e-005,7.06796e-005,0.0027224,0.000218203,5.01332e-005,0,0.00705646
0.000106019,7.51998e-005,1.27388e-005,5.83518e-005,0.00271295,0.000223545,5.21879e-005,0,0.00721507
0.000103965,6.41048e-005,1.23278e-005,6.12283e-005,0.00267761,0.000233407,5.17769e-005,4.10928e-007,0.0072048
0.00010191,6.65703e-005,1.23278e-005,6.41048e-005,0.00265994,0.000209162,4.89004e-005,0,0.00723398
2.91759e-005,4.19147e-005,1.23278e-005,6.45157e-005,0.00267925,0.000224778,5.05441e-005,4.10928e-007,0.00737287
0.000103143,7.35561e-005,1.23278e-005,6.45157e-005,0.00263487,0.000211217,4.84895e-005,4.10928e-007,0.00711029
0.000102732,6.24611e-005,1.23278e-005,5.7119e-005,0.00267802,0.000210806,5.79409e-005,0,0.00719905
0.00010643,5.62971e-005,1.27388e-005,6.94468e-005,0.00272034,0.000229298,4.84895e-005,4.10928e-007,0.00794447
4.39693e-005,5.7119e-005,2.09573e-005,0.000116293,0.00396011,0.000329975,8.71168e-005,4.10928e-007,0.0108156
3.4107e-005,4.27365e-005,1.43825e-005,7.27343e-005,0.00361617,0.000356275,6.24611e-005,4.10928e-007,0.00928204
3.78054e-005,8.99932e-005,1.56153e-005,8.30075e-005,0.00293074,0.000265049,6.24611e-005,4.10928e-007,0.008611
3.20524e-005,4.31474e-005,1.39716e-005,7.31452e-005,0.0030384,0.000260939,6.12283e-005,8.21856e-007,0.00906466
3.36961e-005,4.43802e-005,1.43825e-005,7.35561e-005,0.00307991,0.000269158,6.53376e-005,4.10928e-007,0.00844663
3.20524e-005,4.39693e-005,1.43825e-005,6.41048e-005,0.00307785,0.000274911,6.49266e-005,4.10928e-007,0.00843594
0.000104376,4.76677e-005,1.47934e-005,7.84873e-005,0.0030647,0.000253543,5.87627e-005,4.10928e-007,0.00825144
0.000112183,4.19147e-005,1.35606e-005,7.06796e-005,0.00296896,0.000244091,5.7119e-005,0,0.0080772
0.000111772,4.19147e-005,1.35606e-005,6.32829e-005,0.00284732,0.000237105,5.46534e-005,4.10928e-007,0.00783599
9.98555e-005,5.30097e-005,1.39716e-005,7.15015e-005,0.00275322,0.000232585,5.34206e-005,4.10928e-007,0.00775545
2.99977e-005,4.15037e-005,1.31497e-005,6.8625e-005,0.00265377,0.00022149,5.1366e-005,4.10928e-007,0.00743081
0.000107252,5.87627e-005,1.27388e-005,5.99955e-005,0.00263857,0.000244913,5.01332e-005,0,0.00736876
