scene update,player update,enemy update,particles update,game events,scene draw,player draw,enemies draw,particles draw,frame draw
2.30121e-005,0.000385864,2.42449e-005,4.7668e-005,1.23279e-005,0.00205178,5.05445e-005,4.10931e-007,0.000734333,0.00751428
2.21903e-005,3.86275e-005,2.34231e-005,4.60242e-005,1.1917e-005,0.00204931,5.09554e-005,4.10931e-007,0.000805835,0.00799384
2.17793e-005,3.94494e-005,2.30121e-005,4.60242e-005,1.1917e-005,0.00210931,5.05445e-005,4.10931e-007,0.000769262,0.00781631
2.34231e-005,4.02712e-005,2.34231e-005,4.64352e-005,1.1917e-005,0.00202835,4.7668e-005,4.10931e-007,0.000681734,0.00748346
2.13684e-005,3.98603e-005,2.34231e-005,5.46538e-005,1.23279e-005,0.00199671,4.93117e-005,4.10931e-007,0.000709677,0.00779371
2.21903e-005,4.47915e-005,2.26012e-005,6.32833e-005,1.23279e-005,0.00206575,5.09554e-005,8.21862e-007,0.000725293,0.00754674
2.21903e-005,3.82166e-005,2.3834e-005,6.49271e-005,1.23279e-005,0.00205917,5.09554e-005,4.10931e-007,0.000731457,0.00729649
2.13684e-005,3.94494e-005,2.26012e-005,6.24615e-005,1.15061e-005,0.00201027,7.47894e-005,4.10931e-007,0.00115102,0.00739675
2.13684e-005,3.90384e-005,2.34231e-005,6.5338e-005,1.23279e-005,0.00208054,5.09554e-005,8.21862e-007,0.000721594,0.00736347
2.09575e-005,3.94494e-005,2.34231e-005,6.49271e-005,1.1917e-005,0.00208136,5.13663e-005,4.10931e-007,0.000747072,0.00766715
2.17793e-005,5.50647e-005,2.21903e-005,6.90364e-005,1.1917e-005,0.00222026,5.87631e-005,4.10931e-007,0.000748716,0.00750606
2.21903e-005,3.98603e-005,2.34231e-005,5.67084e-005,1.1917e-005,0.00206041,5.09554e-005,8.21862e-007,0.000756524,0.00755126
2.21903e-005,3.94494e-005,2.30121e-005,5.50647e-005,1.1917e-005,0.00205301,5.9585e-005,4.10931e-007,0.000754058,0.00768482
2.26012e-005,3.78056e-005,2.34231e-005,6.16396e-005,1.1917e-005,0.00223218,5.05445e-005,4.10931e-007,0.000763509,0.00717156
2.13684e-005,4.06821e-005,2.34231e-005,5.54757e-005,2.09575e-005,0.00205958,5.05445e-005,4.10931e-007,0.000769262,0.0074662
2.21903e-005,3.94494e-005,2.26012e-005,6.32833e-005,1.1917e-005,0.00206041,5.05445e-005,4.10931e-007,0.000761044,0.00765811
2.17793e-005,5.67084e-005,2.26012e-005,6.61599e-005,1.1917e-005,0.00200493,4.93117e-005,4.10931e-007,0.000738854,0.00719088
2.58886e-005,0.000106842,3.20526e-005,9.61578e-005,1.84919e-005,0.00211013,5.09554e-005,4.10931e-007,0.000752414,0.00756318
2.17793e-005,3.5751e-005,2.34231e-005,6.69817e-005,1.23279e-005,0.00208301,4.93117e-005,4.10931e-007,0.000739264,0.00789891
2.17793e-005,3.98603e-005,2.3834e-005,6.57489e-005,1.1917e-005,0.00208794,5.21882e-005,4.10931e-007,0.000735155,0.00741031
2.21903e-005,4.02712e-005,2.34231e-005,6.82145e-005,1.1917e-005,0.00205465,5.05445e-005,8.21862e-007,0.000719129,0.00789234
2.13684e-005,3.90384e-005,2.30121e-005,6.24615e-005,1.23279e-005,0.00225354,5.09554e-005,8.21862e-007,0.000738854,0.00815739
2.17793e-005,3.94494e-005,2.3834e-005,5.75303e-005,1.1917e-005,0.00212369,5.38319e-005,8.21862e-007,0.0007594,0.00823053
2.26012e-005,4.1504e-005,2.42449e-005,6.41052e-005,1.1917e-005,0.00212492,5.25991e-005,4.10931e-007,0.000762277,0.0080263
2.17793e-005,4.1504e-005,2.34231e-005,6.16396e-005,1.1917e-005,0.00205506,5.09554e-005,4.10931e-007,0.000737621,0.00823916
2.26012e-005,3.86275e-005,2.34231e-005,6.57489e-005,1.23279e-005,0.00207397,5.09554e-005,4.10931e-007,0.000717074,0.00773577
2.17793e-005,3.86275e-005,2.30121e-005,6.28724e-005,1.23279e-005,0.00222766,4.93117e-005,4.10931e-007,0.00070187,0.0082293
2.09575e-005,3.98603e-005,2.3834e-005,7.52003e-005,1.23279e-005,0.00206041,5.17773e-005,4.10931e-007,0.000726115,0.00829957
2.17793e-005,4.02712e-005,2.34231e-005,6.90364e-005,1.23279e-005,0.00205876,5.09554e-005,4.10931e-007,0.00072406,0.00801726
2.21903e-005,4.1504e-005,2.46558e-005,6.78036e-005,1.23279e-005,0.00213273,5.25991e-005,4.10931e-007,0.00076803,0.00834354
2.17793e-005,3.69838e-005,2.34231e-005,6.32833e-005,1.1917e-005,0.00205589,5.09554e-005,4.10931e-007,0.000753647,0.0082893
2.21903e-005,3.94494e-005,2.30121e-005,7.1091e-005,1.23279e-005,0.00222231,5.30101e-005,8.21862e-007,0.0007331,0.00778097
2.17793e-005,3.90384e-005,2.34231e-005,6.61599e-005,1.1917e-005,0.00205548,5.05445e-005,4.10931e-007,0.000717485,0.00832299
2.3834e-005,3.86275e-005,2.30121e-005,6.45161e-005,1.1917e-005,0.00208301,5.09554e-005,4.10931e-007,0.000726937,0.00823711
2.30121e-005,4.1504e-005,2.3834e-005,6.45161e-005,1.27389e-005,0.00211547,5.21882e-005,4.10931e-007,0.000721594,0.00787631
2.17793e-005,4.02712e-005,2.3834e-005,9.45141e-005,1.31498e-005,0.00206863,5.09554e-005,8.21862e-007,0.000724882,0.00823259
2.17793e-005,4.06821e-005,2.42449e-005,6.90364e-005,1.23279e-005,0.00225149,5.09554e-005,4.10931e-007,0.000724471,0.00818492
2.26012e-005,3.98603e-005,2.26012e-005,6.45161e-005,1.23279e-005,0.00207972,5.21882e-005,4.10931e-007,0.000726115,0.0100805
2.62996e-005,4.52024e-005,2.91761e-005,8.34189e-005,1.52044e-005,0.00265338,6.45161e-005,4.10931e-007,0.000919663,0.0100082
2.58886e-005,4.23259e-005,2.75324e-005,7.19129e-005,1.43826e-005,0.00246476,6.04068e-005,4.10931e-007,0.000871995,0.00940168
2.3834e-005,4.23259e-005,2.58886e-005,7.31457e-005,1.35607e-005,0.0023534,5.75303e-005,8.21862e-007,0.000816519,0.00898295
2.3834e-005,4.06821e-005,2.46558e-005,6.49271e-005,1.27389e-005,0.00225765,5.79412e-005,8.21862e-007,0.000784467,0.00913869
2.26012e-005,4.10931e-005,2.34231e-005,6.69817e-005,1.27389e-005,0.00212985,5.75303e-005,1.23279e-006,0.00080789,0.00848367
2.30121e-005,4.1504e-005,2.30121e-005,6.5338e-005,0.00131827,0.00212164,5.30101e-005,8.21862e-007,0.000779125,0.00891555
2.3834e-005,5.09554e-005,0.000616807,6.86254e-005,0.00015903,0.00232669,5.38319e-005,0.00014588,0.000738443,0.00970659
2.26012e-005,4.19149e-005,5.99959e-005,9.04048e-005,1.1917e-005,0.00217177,6.08178e-005,0.00014999,0.000740908,0.00972057
2.30121e-005,4.19149e-005,5.99959e-005,6.41052e-005,1.1917e-005,0.00214383,5.3421e-005,0.000143826,0.000724882,0.00969673
3.49291e-005,4.19149e-005,5.99959e-005,5.67084e-005,1.1917e-005,0.00215862,5.3421e-005,0.000147935,0.000769262,0.0105285
2.34231e-005,4.31477e-005,6.20505e-005,6.73926e-005,1.23279e-005,0.00222067,5.42429e-005,0.000148346,0.000756113,0.0101804
2.42449e-005,4.39696e-005,6.12287e-005,7.06801e-005,1.15061e-005,0.0023497,5.62975e-005,0.000149168,0.000791042,0.00968769
2.30121e-005,4.31477e-005,6.08178e-005,6.78036e-005,1.23279e-005,0.00216067,5.30101e-005,0.000145059,0.00075036,0.0100489
2.54777e-005,5.09554e-005,8.99938e-005,7.60222e-005,1.23279e-005,0.0022256,5.50647e-005,0.000152455,0.000752825,0.0110047
2.67105e-005,4.64352e-005,7.1091e-005,8.01315e-005,1.43826e-005,0.00268173,6.20505e-005,0.000174646,0.000855969,0.0110918
2.54777e-005,4.64352e-005,6.65708e-005,7.02692e-005,1.27389e-005,0.00243353,5.99959e-005,0.000169714,0.000824738,0.011239
3.20526e-005,5.71194e-005,0.000115061,0.000130676,1.68482e-005,0.00237271,5.58866e-005,0.000158208,0.000783645,0.0103793
2.26012e-005,4.31477e-005,6.08178e-005,6.49271e-005,1.1917e-005,0.0022067,5.38319e-005,0.000155743,0.000815287,0.0100953
2.17793e-005,4.1504e-005,5.83522e-005,6.69817e-005,1.15061e-005,0.00203986,5.01336e-005,0.000147524,0.000724882,0.00935443
2.17793e-005,3.94494e-005,5.62975e-005,5.87631e-005,1.10951e-005,0.00219355,5.09554e-005,0.000149168,0.000704335,0.00957797
2.21903e-005,4.39696e-005,5.87631e-005,6.98582e-005,1.15061e-005,0.0020678,5.21882e-005,0.000156154,0.000903637,0.00949497
2.13684e-005,0.000208342,5.75303e-005,6.16396e-005,1.10951e-005,0.00205301,5.50647e-005,0.000153277,0.000708856,0.00986111
2.87652e-005,0.000126156,6.04068e-005,6.98582e-005,1.15061e-005,0.00213232,5.05445e-005,0.000156976,0.000699815,0.00974235
2.17793e-005,3.94494e-005,5.83522e-005,6.28724e-005,1.15061e-005,0.00205794,5.05445e-005,0.000156976,0.000726937,0.00980399
2.21903e-005,4.10931e-005,5.79412e-005,6.12287e-005,1.15061e-005,0.00209739,5.09554e-005,0.000171358,0.000745428,0.00964619
2.26012e-005,4.10931e-005,0.000540374,6.73926e-005,1.15061e-005,0.00209082,5.21882e-005,0.00015903,0.000722827,0.00996507
2.21903e-005,4.19149e-005,0.000306554,6.78036e-005,1.23279e-005,0.00228519,5.09554e-005,0.000179988,0.000747072,0.00971892
2.21903e-005,3.98603e-005,6.45161e-005,6.5338e-005,1.15061e-005,0.00221533,5.21882e-005,0.000184508,0.000759811,0.0101623
2.3834e-005,4.7257e-005,6.24615e-005,7.93096e-005,1.1917e-005,0.00208342,5.09554e-005,0.000179577,0.000761455,0.00972879
2.13684e-005,3.98603e-005,6.32833e-005,6.32833e-005,1.1917e-005,0.00214547,5.21882e-005,0.000184919,0.000795562,0.0105617
2.34231e-005,5.50647e-005,6.5338e-005,6.90364e-005,1.1917e-005,0.00211013,5.09554e-005,0.000178755,0.00076392,0.00988617
2.26012e-005,4.02712e-005,6.24615e-005,6.36943e-005,1.15061e-005,0.00208424,5.05445e-005,0.000179988,0.000756113,0.0103797
2.17793e-005,3.86275e-005,7.23238e-005,6.32833e-005,1.15061e-005,0.00207767,5.09554e-005,0.000179166,0.000753647,0.00998521
