scene update,player update,enemy update,particles update,game events,scene draw,player draw,enemies draw,particles draw,frame draw
2.54777e-005,3.61619e-005,2.54777e-005,0.000104376,0.00155578,0.00221862,5.9174e-005,0.000263818,0.000807479,0.0107602
2.50668e-005,4.35587e-005,0.000305732,4.80789e-005,0.000182864,0.00214958,5.42429e-005,0.000148757,0.000777481,0.00933183
2.21903e-005,3.90384e-005,5.87631e-005,4.56133e-005,1.1917e-005,0.00204726,5.09554e-005,0.000138895,0.000732279,0.00928375
2.17793e-005,3.94494e-005,5.83522e-005,4.56133e-005,1.15061e-005,0.00203616,5.05445e-005,0.000138484,0.00073269,0.00906143
2.87652e-005,4.64352e-005,7.19129e-005,6.5338e-005,1.39716e-005,0.00257777,6.45161e-005,0.00018533,0.00107253,0.0124048
2.99979e-005,4.93117e-005,7.47894e-005,8.95829e-005,1.47935e-005,0.00268667,6.73926e-005,0.000183275,0.000961167,0.0116088
2.99979e-005,4.7257e-005,7.06801e-005,8.17752e-005,1.35607e-005,0.00248079,6.20505e-005,0.000169714,0.000881857,0.0109665
2.67105e-005,4.19149e-005,6.65708e-005,7.35566e-005,1.27389e-005,0.00234641,5.79412e-005,0.000159852,0.000819807,0.0104837
3.41073e-005,7.97206e-005,6.41052e-005,6.57489e-005,1.23279e-005,0.00225272,6.32833e-005,0.000152455,0.000766797,0.00965482
2.3834e-005,4.06821e-005,6.08178e-005,7.15019e-005,1.15061e-005,0.00209246,5.25991e-005,0.000146702,0.000752414,0.00960715
2.46558e-005,4.10931e-005,6.20505e-005,5.75303e-005,1.23279e-005,0.00216273,5.46538e-005,0.000154921,0.000758167,0.0100608
2.62996e-005,4.1504e-005,6.28724e-005,4.84898e-005,1.23279e-005,0.0021615,5.50647e-005,0.000158208,0.000842408,0.00960016
2.26012e-005,4.06821e-005,5.83522e-005,6.49271e-005,1.15061e-005,0.00208712,5.17773e-005,0.000152455,0.000718307,0.0108149
2.83542e-005,5.01336e-005,7.64331e-005,8.25971e-005,1.47935e-005,0.00268667,6.73926e-005,0.000197247,0.000950072,0.0118837
3.90384e-005,4.7257e-005,7.15019e-005,8.79392e-005,1.35607e-005,0.00247175,6.16396e-005,0.000183686,0.000876104,0.0112336
2.71214e-005,6.20505e-005,6.90364e-005,7.39675e-005,1.35607e-005,0.00242161,0.000376002,0.000187384,0.000833368,0.0108095
2.46558e-005,0.000127799,6.41052e-005,7.23238e-005,1.27389e-005,0.00223629,5.58866e-005,0.000173413,0.000755702,0.010655
2.42449e-005,4.23259e-005,6.24615e-005,6.49271e-005,1.23279e-005,0.0021878,5.42429e-005,0.000166427,0.000756934,0.0101348
2.46558e-005,5.67084e-005,6.16396e-005,6.73926e-005,1.23279e-005,0.00216232,5.50647e-005,0.000170125,0.000736388,0.010104
2.42449e-005,0.000127389,0.000830491,6.65708e-005,1.31498e-005,0.0022593,6.20505e-005,0.000177933,0.000778714,0.0116745
2.46558e-005,4.64352e-005,0.00029587,6.5338e-005,1.1917e-005,0.00225396,6.08178e-005,0.000195603,0.000751181,0.0110857
2.50668e-005,4.97226e-005,6.82145e-005,6.65708e-005,1.27389e-005,0.00224902,6.12287e-005,0.000197658,0.000767619,0.0108535
2.42449e-005,3.82166e-005,0.000283542,0.000325457,1.1917e-005,0.00217095,5.9174e-005,0.000194781,0.00127183,0.0110947
2.62996e-005,7.88987e-005,6.98582e-005,9.53359e-005,1.23279e-005,0.00222889,6.12287e-005,0.000201356,0.00137867,0.0113557
2.50668e-005,4.06821e-005,6.86254e-005,8.54736e-005,1.27389e-005,0.00226711,6.32833e-005,0.000209575,0.00138771,0.0112081
2.42449e-005,4.19149e-005,6.90364e-005,8.17752e-005,1.23279e-005,0.00224286,6.61599e-005,0.000203411,0.00144442,0.0113762
2.46558e-005,4.10931e-005,6.98582e-005,9.08157e-005,1.23279e-005,0.00255722,6.16396e-005,0.000205465,0.00144689,0.0110828
2.46558e-005,0.000107253,7.1091e-005,9.24594e-005,1.23279e-005,0.00225108,6.08178e-005,0.000209164,0.00177892,0.0109024
2.58886e-005,0.000187384,7.02692e-005,8.95829e-005,1.23279e-005,0.00224985,6.57489e-005,0.000203822,0.00154674,0.0116676
2.54777e-005,5.05445e-005,7.19129e-005,0.000103555,1.27389e-005,0.00233285,6.82145e-005,0.000210397,0.00161167,0.011633
2.34231e-005,4.23259e-005,0.000253133,9.69797e-005,1.23279e-005,0.00225848,6.65708e-005,0.000208753,0.0016051,0.0121672
2.62996e-005,4.27368e-005,7.97206e-005,9.86234e-005,1.27389e-005,0.00224327,6.61599e-005,0.000209164,0.00161578,0.0114325
2.50668e-005,4.39696e-005,8.01315e-005,9.20485e-005,1.27389e-005,0.00254941,6.86254e-005,0.000212451,0.00163879,0.0112505
2.50668e-005,4.39696e-005,7.02692e-005,0.000105198,1.27389e-005,0.0022519,6.5338e-005,0.000199301,0.00164989,0.0114851
2.3834e-005,4.19149e-005,6.90364e-005,9.4925e-005,1.23279e-005,0.00222067,6.5338e-005,0.000196425,0.00163304,0.0117041
2.21903e-005,4.64352e-005,6.82145e-005,0.000108075,1.23279e-005,0.00219766,6.45161e-005,0.00019437,0.00164619,0.0112759
2.46558e-005,0.00018533,6.94473e-005,9.4925e-005,0.000306965,0.00224574,7.47894e-005,0.000196014,0.00163838,0.0118821
2.46558e-005,5.13663e-005,0.00074173,0.000349702,1.27389e-005,0.00251736,7.52003e-005,0.000192727,0.00164167,0.011783
2.42449e-005,4.47915e-005,0.000205465,0.000105609,1.27389e-005,0.00223834,7.1091e-005,0.000210397,0.00199548,0.0121862
2.50668e-005,4.93117e-005,7.56113e-005,0.000109719,1.27389e-005,0.00232833,7.23238e-005,0.000221081,0.00181837,0.0143411
2.58886e-005,5.01336e-005,9.16376e-005,0.000112184,1.31498e-005,0.00234354,7.93096e-005,0.000223546,0.0021804,0.0135796
2.54777e-005,5.05445e-005,7.88987e-005,0.000113828,1.31498e-005,0.00236655,7.84878e-005,0.000230532,0.00220505,0.0126595
2.58886e-005,5.05445e-005,8.13643e-005,0.000120814,1.35607e-005,0.00242901,9.12266e-005,0.000237518,0.00231395,0.0127878
2.54777e-005,5.01336e-005,7.76659e-005,0.000110129,1.31498e-005,0.00239367,7.56113e-005,0.000227656,0.00220341,0.0166468
3.24635e-005,0.000241216,0.000325046,0.000179988,1.60263e-005,0.00294843,0.000103144,0.000286419,0.0028009,0.0175903
2.87652e-005,6.5338e-005,9.45141e-005,0.000148346,1.56154e-005,0.00281077,9.57469e-005,0.000271214,0.00279721,0.0154046
2.87652e-005,6.08178e-005,9.69797e-005,0.000139716,1.47935e-005,0.00274132,9.12266e-005,0.000256421,0.00264311,0.0156252
2.9587e-005,6.04068e-005,8.99938e-005,0.00014999,1.52044e-005,0.00271749,9.4925e-005,0.000260941,0.00262379,0.0151079
2.62996e-005,5.58866e-005,9.57469e-005,0.000129854,1.39716e-005,0.00249476,8.38299e-005,0.000235052,0.00246148,0.0141089
2.75324e-005,5.30101e-005,7.7255e-005,0.000121225,1.31498e-005,0.00233039,7.97206e-005,0.000222314,0.00221697,0.01337
2.46558e-005,5.83522e-005,7.56113e-005,0.000120403,1.27389e-005,0.00222724,7.27347e-005,0.000209164,0.00202671,0.0129632
2.46558e-005,0.000197658,7.7255e-005,0.000119581,1.31498e-005,0.00225765,8.21862e-005,0.00022519,0.00211794,0.0137986
