scene update,player update,enemy update,particles update,game events,scene draw,player draw,enemies draw,particles draw,frame draw
2.09575e-005,3.41073e-005,2.34231e-005,0.00410273,0.00137415,0.00204356,5.17773e-005,0.000239984,0.000734333,0.00921471
2.09575e-005,3.98603e-005,0.000285186,4.52024e-005,0.000177111,0.00206411,5.13663e-005,0.000138484,0.000816519,0.00862009
2.13684e-005,3.90384e-005,5.83522e-005,4.47915e-005,1.06842e-005,0.00203863,4.84898e-005,0.000129854,0.000689953,0.00885802
2.21903e-005,3.73947e-005,5.9174e-005,4.43805e-005,1.06842e-005,0.00206287,5.13663e-005,0.000138484,0.000740497,0.00883583
2.05465e-005,3.69838e-005,5.9174e-005,4.43805e-005,1.06842e-005,0.00206452,5.09554e-005,0.000139716,0.000735155,0.00871461
2.01356e-005,3.69838e-005,5.54757e-005,0.000628313,1.97247e-005,0.00205958,5.21882e-005,0.000140127,0.000722827,0.00897021
2.13684e-005,5.54757e-005,5.79412e-005,0.000458599,1.10951e-005,0.00202959,5.87631e-005,0.000134785,0.00070187,0.0086953
1.93137e-005,3.86275e-005,5.62975e-005,0.000463119,1.02733e-005,0.00206,5.13663e-005,0.00014136,0.000682145,0.00887158
2.75324e-005,4.84898e-005,6.28724e-005,0.000663242,1.15061e-005,0.00205712,5.13663e-005,0.000140949,0.000655846,0.0085716
2.09575e-005,3.90384e-005,5.75303e-005,0.000863776,1.06842e-005,0.00205054,5.13663e-005,0.000142182,0.000663242,0.0100218
2.17793e-005,4.02712e-005,5.9585e-005,0.00135813,1.10951e-005,0.00206904,5.25991e-005,0.000146291,0.000687076,0.00890323
2.05465e-005,4.02712e-005,5.87631e-005,0.000367783,1.10951e-005,0.00206287,5.13663e-005,0.000146291,0.000686665,0.00915348
2.13684e-005,3.73947e-005,5.9585e-005,0.000289706,1.15061e-005,0.00206246,5.17773e-005,0.000152044,0.000696528,0.00890528
2.17793e-005,4.10931e-005,6.61599e-005,0.00026053,1.10951e-005,0.00206369,5.21882e-005,0.000150401,0.000695295,0.00917855
2.05465e-005,3.90384e-005,5.9174e-005,0.000471338,1.10951e-005,0.00207191,5.01336e-005,0.000166427,0.000668995,0.00920074
2.01356e-005,5.58866e-005,5.62975e-005,0.000651325,1.06842e-005,0.00195192,4.89008e-005,0.000171358,0.000712143,0.00961907
2.05465e-005,4.1504e-005,5.9585e-005,0.000658722,1.06842e-005,0.0019811,4.84898e-005,0.000146702,0.000682967,0.00939881
2.17793e-005,5.25991e-005,5.99959e-005,0.000585576,1.06842e-005,0.0020752,5.17773e-005,0.000157386,0.000712965,0.00910129
2.05465e-005,3.86275e-005,6.65708e-005,0.000467639,1.15061e-005,0.00206411,5.13663e-005,0.00015903,0.000718307,0.00947031
2.09575e-005,4.89008e-005,5.58866e-005,0.000744196,1.02733e-005,0.00197575,4.89008e-005,0.000148757,0.000791453,0.0092217
2.09575e-005,3.98603e-005,6.78036e-005,0.00223094,1.10951e-005,0.00206534,5.17773e-005,0.000160263,0.00121266,0.00948305
2.05465e-005,4.27368e-005,0.000809945,0.000900349,1.10951e-005,0.00207561,5.21882e-005,0.000160674,0.00122046,0.0106904
2.21903e-005,3.90384e-005,0.000304911,0.00107746,1.8081e-005,0.0022745,5.17773e-005,0.000182042,0.00128704,0.009564
2.09575e-005,3.45182e-005,6.49271e-005,0.000409287,1.10951e-005,0.00213191,5.25991e-005,0.00018533,0.00132484,0.0100333
2.05465e-005,3.36963e-005,6.32833e-005,0.000599959,1.10951e-005,0.00207273,5.17773e-005,0.000179988,0.00128662,0.00979782
2.05465e-005,3.41073e-005,6.49271e-005,0.00101377,1.10951e-005,0.00213355,5.25991e-005,0.000183275,0.00131662,0.00982741
2.05465e-005,3.49291e-005,6.32833e-005,0.0013195,1.10951e-005,0.00207273,5.25991e-005,0.000182864,0.00134046,0.0100584
2.05465e-005,3.49291e-005,6.36943e-005,0.00185659,1.1917e-005,0.00209534,5.17773e-005,0.000184508,0.00138155,0.0101463
2.17793e-005,0.000172591,6.5338e-005,0.00124471,1.1917e-005,0.00216273,5.75303e-005,0.000183275,0.00146004,0.0104331
