scene update,player update,enemy update,particles update,game events,scene draw,player draw,enemies draw,particles draw,frame draw
2.17793e-005,3.90384e-005,2.30121e-005,4.68461e-005,1.23279e-005,0.00206287,5.13663e-005,4.10931e-007,0.000823505,0.0089587
2.17793e-005,4.23259e-005,2.42449e-005,4.7668e-005,1.23279e-005,0.00213191,6.65708e-005,8.21862e-007,0.000768851,0.00851777
2.21903e-005,4.1504e-005,2.34231e-005,4.60242e-005,1.23279e-005,0.00206082,5.09554e-005,4.10931e-007,0.000748305,0.00783234
2.67105e-005,4.52024e-005,2.79433e-005,5.3421e-005,1.43826e-005,0.00238504,6.49271e-005,4.10931e-007,0.000845285,0.00935895
2.58886e-005,4.56133e-005,2.71214e-005,6.16396e-005,1.39716e-005,0.00234189,5.67084e-005,4.10931e-007,0.000828436,0.00834189
2.46558e-005,4.19149e-005,2.62996e-005,6.78036e-005,1.31498e-005,0.00226176,5.58866e-005,4.10931e-007,0.000825149,0.00893528
2.50668e-005,4.19149e-005,2.58886e-005,7.31457e-005,1.35607e-005,0.00221615,5.42429e-005,4.10931e-007,0.000814876,0.00777933
2.54777e-005,0.000160674,2.54777e-005,7.19129e-005,1.31498e-005,0.0022745,5.62975e-005,8.21862e-007,0.000788576,0.00874995
2.54777e-005,0.000290117,2.67105e-005,8.17752e-005,1.31498e-005,0.00227163,5.62975e-005,4.10931e-007,0.000805424,0.00826053
2.54777e-005,4.31477e-005,2.54777e-005,7.15019e-005,1.35607e-005,0.00226711,5.58866e-005,4.10931e-007,0.000798849,0.00922457
2.54777e-005,0.000347647,2.71214e-005,6.36943e-005,1.47935e-005,0.00242696,6.04068e-005,4.10931e-007,0.000846928,0.00843518
2.50668e-005,4.39696e-005,2.58886e-005,7.06801e-005,1.39716e-005,0.00234272,5.62975e-005,4.10931e-007,0.000813232,0.00927183
2.42449e-005,4.35587e-005,2.62996e-005,7.02692e-005,1.35607e-005,0.00225806,5.62975e-005,4.10931e-007,0.00079926,0.0087068
2.50668e-005,4.56133e-005,2.79433e-005,8.21862e-005,1.43826e-005,0.00244627,5.99959e-005,4.10931e-007,0.000863366,0.00994083
2.58886e-005,4.43805e-005,2.62996e-005,8.01315e-005,1.39716e-005,0.00235504,5.79412e-005,4.10931e-007,0.000818574,0.00881036
2.62996e-005,4.52024e-005,2.75324e-005,8.05424e-005,1.43826e-005,0.00244791,6.08178e-005,4.10931e-007,0.000855969,0.00934826
2.50668e-005,9.90343e-005,2.62996e-005,7.93096e-005,1.35607e-005,0.00235052,6.41052e-005,4.10931e-007,0.000824738,0.00916458
2.50668e-005,4.56133e-005,2.83542e-005,8.13643e-005,1.43826e-005,0.00236285,5.87631e-005,4.10931e-007,0.000835833,0.00863119
3.24635e-005,5.79412e-005,3.73947e-005,7.76659e-005,1.39716e-005,0.00227738,5.58866e-005,4.10931e-007,0.000793096,0.00930101
2.46558e-005,4.60242e-005,2.54777e-005,7.06801e-005,1.35607e-005,0.00229423,5.62975e-005,8.21862e-007,0.000789809,0.00915636
2.46558e-005,4.56133e-005,2.71214e-005,7.52003e-005,1.39716e-005,0.0024134,5.99959e-005,4.10931e-007,0.000835422,0.00985987
2.62996e-005,9.98562e-005,2.71214e-005,7.39675e-005,1.56154e-005,0.00237641,5.83522e-005,8.21862e-007,0.000818163,0.00916458
2.46558e-005,4.27368e-005,2.62996e-005,7.52003e-005,1.39716e-005,0.00233368,5.83522e-005,4.10931e-007,0.000793918,0.00955414
2.46558e-005,4.39696e-005,2.58886e-005,6.94473e-005,1.35607e-005,0.00226793,5.58866e-005,4.10931e-007,0.000780768,0.00907047
2.46558e-005,4.39696e-005,2.58886e-005,7.39675e-005,1.39716e-005,0.00235628,5.83522e-005,4.10931e-007,0.000800493,0.00911157
2.42449e-005,4.43805e-005,2.62996e-005,7.84878e-005,1.39716e-005,0.00230738,5.79412e-005,4.10931e-007,0.000786111,0.0089887
2.30121e-005,4.19149e-005,2.46558e-005,6.61599e-005,1.27389e-005,0.00227573,6.57489e-005,8.21862e-007,0.000735977,0.00866447
3.12307e-005,8.50627e-005,2.42449e-005,6.73926e-005,1.31498e-005,0.00212451,5.3421e-005,8.21862e-007,0.000713787,0.00885186
2.79433e-005,4.93117e-005,2.83542e-005,7.80768e-005,1.52044e-005,0.00257448,6.98582e-005,8.21862e-007,0.000869529,0.0111802
3.86275e-005,6.45161e-005,4.47915e-005,0.00012821,2.30121e-005,0.00344607,0.000106431,8.21862e-007,0.0013947,0.0127738
2.87652e-005,4.93117e-005,2.9587e-005,8.71173e-005,1.56154e-005,0.00267434,6.57489e-005,4.10931e-007,0.000925827,0.0105338
2.79433e-005,4.43805e-005,2.91761e-005,7.43785e-005,1.47935e-005,0.00255188,6.32833e-005,8.21862e-007,0.000885967,0.00989521
2.67105e-005,4.80789e-005,2.75324e-005,7.97206e-005,1.39716e-005,0.00244257,6.24615e-005,8.21862e-007,0.000846106,0.010314
2.87652e-005,5.05445e-005,3.08198e-005,8.42408e-005,1.60263e-005,0.00276597,7.1091e-005,8.21862e-007,0.000967331,0.0105211
2.79433e-005,4.80789e-005,2.75324e-005,7.80768e-005,1.43826e-005,0.00255804,6.49271e-005,4.10931e-007,0.000915554,0.0103781
2.87652e-005,8.38299e-005,2.83542e-005,7.80768e-005,1.39716e-005,0.0024738,6.16396e-005,8.21862e-007,0.000881857,0.0104463
2.75324e-005,4.80789e-005,2.79433e-005,7.84878e-005,1.47935e-005,0.00250257,6.45161e-005,4.10931e-007,0.000929114,0.0112998
2.62996e-005,4.7668e-005,2.79433e-005,7.93096e-005,1.43826e-005,0.00244052,6.08178e-005,8.21862e-007,0.000890076,0.0107968
2.83542e-005,4.56133e-005,2.83542e-005,8.05424e-005,0.00184138,0.0026427,6.45161e-005,0.000296281,0.000939388,0.0125071
2.71214e-005,4.56133e-005,0.000261352,8.25971e-005,0.000207109,0.00253791,6.20505e-005,0.000168071,0.000894185,0.0116084
2.54777e-005,4.35587e-005,6.98582e-005,8.71173e-005,1.35607e-005,0.00243928,6.08178e-005,0.000169714,0.0008346,0.0110586
2.58886e-005,4.1504e-005,7.47894e-005,7.06801e-005,1.35607e-005,0.00237847,5.9174e-005,0.000171358,0.000811588,0.0107684
2.67105e-005,4.52024e-005,6.82145e-005,7.23238e-005,1.35607e-005,0.00243476,5.99959e-005,0.00016314,0.000836244,0.0114231
2.62996e-005,4.60242e-005,6.86254e-005,7.88987e-005,1.31498e-005,0.00243189,5.79412e-005,0.000158208,0.000806657,0.0112057
2.54777e-005,4.7668e-005,6.90364e-005,7.60222e-005,1.31498e-005,0.00242737,6.08178e-005,0.000166838,0.000829258,0.0107915
2.54777e-005,0.000352579,6.65708e-005,7.84878e-005,1.39716e-005,0.0023497,5.79412e-005,0.000159441,0.00081693,0.0109435
2.46558e-005,4.52024e-005,6.78036e-005,7.56113e-005,1.31498e-005,0.00246024,6.04068e-005,0.000168893,0.000836244,0.0116926
2.62996e-005,8.58845e-005,6.65708e-005,7.64331e-005,1.31498e-005,0.00236696,5.87631e-005,0.000164783,0.000800904,0.0107146
2.54777e-005,4.35587e-005,6.82145e-005,7.64331e-005,1.31498e-005,0.00244874,6.16396e-005,0.000179166,0.000823094,0.0119096
2.46558e-005,4.31477e-005,6.36943e-005,6.12287e-005,1.23279e-005,0.00226916,5.58866e-005,0.000162729,0.000767619,0.0108625
2.62996e-005,4.1504e-005,6.86254e-005,7.56113e-005,1.31498e-005,0.00244216,5.99959e-005,0.000176289,0.000819807,0.0113479
2.75324e-005,5.01336e-005,8.21862e-005,8.3008e-005,1.39716e-005,0.00266324,6.49271e-005,0.000196014,0.000973084,0.011926
2.58886e-005,4.52024e-005,6.82145e-005,8.13643e-005,1.31498e-005,0.00242942,6.04068e-005,0.000182042,0.000828847,0.0115172
2.50668e-005,5.13663e-005,6.57489e-005,7.39675e-005,1.31498e-005,0.00235299,5.83522e-005,0.000183686,0.000803781,0.0112102
