scene update,player update,enemy update,particles update,game events,scene draw,player draw,enemies draw,particles draw,frame draw
2.26012e-005,3.45182e-005,2.34231e-005,0.000254777,0.000271625,0.00203657,5.01336e-005,0.000235463,0.000717485,0.00906472
2.26012e-005,4.23259e-005,0.000276967,4.56133e-005,2.13684e-005,0.00215081,5.09554e-005,0.000140127,0.000718718,0.00861146
8.09534e-005,6.45161e-005,5.9174e-005,4.52024e-005,1.06842e-005,0.00198521,4.93117e-005,0.000135607,0.000711732,0.00858558
8.05424e-005,7.15019e-005,5.9585e-005,4.52024e-005,1.10951e-005,0.00199014,4.7668e-005,0.000131087,0.000710088,0.00853709
8.05424e-005,6.49271e-005,5.99959e-005,4.56133e-005,1.10951e-005,0.00203,4.7668e-005,0.000131909,0.000759811,0.00852188
8.34189e-005,7.47894e-005,6.04068e-005,4.60242e-005,1.10951e-005,0.00206328,5.21882e-005,0.000139306,0.000709266,0.00847257
8.3008e-005,5.67084e-005,6.04068e-005,4.60242e-005,1.06842e-005,0.00198808,5.71194e-005,0.000133142,0.000740497,0.00860242
3.5751e-005,5.42429e-005,6.08178e-005,6.41052e-005,1.10951e-005,0.00206041,5.09554e-005,0.000139716,0.000716663,0.00879227
3.08198e-005,5.09554e-005,5.9174e-005,7.02692e-005,1.10951e-005,0.00203164,5.05445e-005,0.00014136,0.000710499,0.00880173
2.17793e-005,9.86234e-005,5.71194e-005,7.47894e-005,1.02733e-005,0.00203246,5.09554e-005,0.000142182,0.000703513,0.00860325
7.88987e-005,8.3008e-005,5.62975e-005,6.98582e-005,1.06842e-005,0.0020263,6.57489e-005,0.000135607,0.000714609,0.008925
2.30121e-005,4.1504e-005,5.9585e-005,7.93096e-005,1.10951e-005,0.00205013,5.09554e-005,0.000145059,0.000726115,0.00931087
2.21903e-005,4.19149e-005,6.5338e-005,8.62955e-005,1.15061e-005,0.00210355,5.25991e-005,0.000149579,0.000770495,0.0104705
2.34231e-005,4.06821e-005,5.9585e-005,7.23238e-005,1.10951e-005,0.00206123,5.13663e-005,0.000149168,0.000748305,0.00907212
2.13684e-005,4.43805e-005,6.16396e-005,6.98582e-005,1.15061e-005,0.00211301,5.21882e-005,0.000156976,0.000772961,0.00916581
2.26012e-005,3.90384e-005,6.16396e-005,7.64331e-005,1.15061e-005,0.00209082,5.05445e-005,0.000151223,0.00074625,0.00896528
2.58886e-005,3.78056e-005,6.20505e-005,6.41052e-005,1.10951e-005,0.0020415,5.13663e-005,0.000154099,0.000739675,0.00885802
2.17793e-005,3.86275e-005,5.99959e-005,6.78036e-005,1.15061e-005,0.00205178,4.89008e-005,0.000149579,0.000745839,0.0089135
2.30121e-005,3.86275e-005,5.99959e-005,6.69817e-005,1.15061e-005,0.00204109,5.05445e-005,0.000155743,0.000747072,0.00904787
2.26012e-005,4.1504e-005,5.83522e-005,7.39675e-005,1.10951e-005,0.00203986,5.05445e-005,0.000157386,0.000736388,0.00898048
2.26012e-005,4.1504e-005,6.04068e-005,7.68441e-005,1.10951e-005,0.0020563,5.09554e-005,0.000157797,0.000723238,0.00901664
2.3834e-005,5.05445e-005,6.49271e-005,7.06801e-005,1.15061e-005,0.00206821,5.13663e-005,0.000158619,0.000721594,0.00901541
4.23259e-005,4.10931e-005,5.9174e-005,6.57489e-005,1.15061e-005,0.0020789,5.21882e-005,0.000162729,0.000713787,0.00905445
2.17793e-005,4.10931e-005,5.9585e-005,7.43785e-005,1.06842e-005,0.00206904,5.21882e-005,0.000176289,0.000772961,0.00910335
2.26012e-005,3.98603e-005,5.99959e-005,7.43785e-005,1.10951e-005,0.00205301,5.25991e-005,0.000174235,0.000740497,0.00915924
2.21903e-005,3.90384e-005,5.83522e-005,6.69817e-005,1.10951e-005,0.00202671,6.65708e-005,0.000154921,0.00075488,0.00910705
2.05465e-005,3.90384e-005,6.65708e-005,6.90364e-005,1.06842e-005,0.00197452,4.80789e-005,0.000151223,0.000717485,0.00915307
2.09575e-005,3.36963e-005,5.99959e-005,0.000108075,1.15061e-005,0.00205301,5.13663e-005,0.00015903,0.00102486,0.00920731
2.26012e-005,3.94494e-005,5.87631e-005,8.13643e-005,1.10951e-005,0.00204356,5.05445e-005,0.000160263,0.00103513,0.00919129
2.9587e-005,3.61619e-005,5.75303e-005,7.19129e-005,1.06842e-005,0.00206904,5.17773e-005,0.000163961,0.00102445,0.00922046
2.09575e-005,3.73947e-005,5.62975e-005,7.27347e-005,1.06842e-005,0.00209328,5.09554e-005,0.000161496,0.0010076,0.00917773
2.58886e-005,3.78056e-005,0.000101089,7.52003e-005,1.10951e-005,0.00203781,5.13663e-005,0.000160263,0.00100801,0.00917649
2.13684e-005,3.94494e-005,8.54736e-005,8.42408e-005,1.23279e-005,0.00205219,5.09554e-005,0.0001767,0.00104787,0.00922868
2.17793e-005,4.06821e-005,6.45161e-005,7.88987e-005,1.10951e-005,0.00204726,5.05445e-005,0.000179577,0.00104993,0.00961825
2.21903e-005,3.98603e-005,6.49271e-005,7.97206e-005,1.10951e-005,0.00204356,5.09554e-005,0.0001767,0.00105856,0.00965317
2.21903e-005,4.10931e-005,6.49271e-005,8.58845e-005,1.10951e-005,0.00204397,5.09554e-005,0.000177111,0.00102979,0.00946743
2.13684e-005,4.02712e-005,6.32833e-005,7.60222e-005,1.06842e-005,0.00201726,4.93117e-005,0.000171358,0.00106267,0.00969961
2.17793e-005,3.82166e-005,6.57489e-005,9.20485e-005,1.10951e-005,0.00206082,5.17773e-005,0.000180399,0.00111033,0.00967331
2.87652e-005,4.10931e-005,6.5338e-005,7.68441e-005,1.15061e-005,0.00205178,5.13663e-005,0.000178344,0.00107458,0.00966427
2.30121e-005,4.60242e-005,6.61599e-005,8.46517e-005,1.15061e-005,0.00207232,5.13663e-005,0.000181631,0.00113253,0.00945305
2.21903e-005,5.58866e-005,6.49271e-005,8.05424e-005,1.15061e-005,0.00206616,5.09554e-005,0.000177522,0.00115184,0.00948798
2.17793e-005,0.000140127,6.41052e-005,8.46517e-005,1.15061e-005,0.00204109,5.54757e-005,0.000170947,0.00114567,0.00942757
